remark,CSV-Import-Export,,,,,
remark,Date = Fri Mar 31 08:21:41 2023,,,,,
remark,Version = RSLogix 5000 v32.04,,,,,
remark,Owner = Triplex,,,,,
remark,Company = ,,,,,
0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,MOLA_L01_IO_C,,EnetCommSts,,"(Constant := false, ExternalAccess := Read/Write)"
COMMENT,,MOLA_L01_IO_C,WIT1586A,,MOLA_L01_IO_C.IP[28],
COMMENT,,MOLA_L01_IO_C,Line1_Fryer_ASM,,MOLA_L01_IO_C.IP[31],
COMMENT,,MOLA_L01_IO_C,Line1_Blancher_ASM,,MOLA_L01_IO_C.IP[32],
COMMENT,,MOLA_L01_IO_C,WIT1586A - TLB-RE/EIS Ethernet/IP $NIP: 10.97.85.28,,MOLA_L01_IO_C.IP[28].0,
COMMENT,,MOLA_L01_IO_C,Line1_Fryer_ASM - AC1422 Ethernet/IP $NIP: 10.97.85.31,,MOLA_L01_IO_C.IP[31].0,
COMMENT,,MOLA_L01_IO_C,Line1_2_Blancher_ASM - AC1422 Ethernet/IP $NIP: 10.97.85.32,,MOLA_L01_IO_C.IP[32].0,
